0;2247
1;2216
2;2063
3;2105
4;2296
5;2188
6;2229
7;2074
8;2150
9;2121
10;2201
11;2130
12;2050
13;2122
14;2291
15;2192
16;2178
17;2158
18;2100
19;2218
20;2103
21;2278
22;2008
23;2250
24;2170
25;2314
26;2024
27;2259
28;2449
29;2191
30;2182
31;2156
32;2086
33;2135
34;2296
35;2154
36;2214
37;2294
38;2308
39;2228
40;2109
41;2280
42;2308
43;2226
44;2066
45;2078
46;2148
47;2041
48;2272
49;2051
50;2304
51;2200
52;2246
53;2182
54;2215
55;2226
56;2238
57;2155
58;2406
59;2376
60;2285
61;2212
62;2206
63;2383
64;2165
65;1994
66;2117
67;2111
68;2251
69;2167
70;2050
71;2132
72;2209
73;2261
74;2101
75;2316
76;2053
77;2219
78;2151
79;2128
80;2167
81;2216
82;2038
83;2118
84;2206
85;2244
86;2101
87;2351
88;2144
89;2232
90;2315
91;2158
92;2278
93;2121
94;2229
95;2186
96;2279
97;2272
98;2438
99;2385
100;2202
